Looking for solar generator for school. | Category: education materials
Seeking affordable heater for study purposes. | Category: education materials
Looking for a handyman to fix toiletries, budget $2000. | Category: home repairs
Seeking donations of gaming PC for a local clinic. | Category: medical supplies
Seeking professional repair service for bicycle. | Category: home repairs
Seeking emergency financial assistance for medical emergency. | Category: financial aid
Looking to carpool to grocery store, sharing gas costs. | Category: transportation
Anyone selling a iPhone 14? Need it ASAP. | Category: transportation
Need iPhone 14 for elderly care, please help! | Category: medical supplies
Seeking donations of groceries for a local clinic. | Category: medical supplies
Can anyone donate a winter coat to a family in need? | Category: furniture
Seeking emergency financial assistance for medical emergency. | Category: financial aid
Looking for a baby formula, must be in good condition. | Category: furniture
Urgent: Seeking a gaming PC, budget $200. | Category: electronics
Does anyone have extra blankets to spare? | Category: medical supplies
Seeking a community group that supports homeless shelters. | Category: social assistance
Urgent: Need couch for an upcoming exam. | Category: education materials
Looking for shelters that provide couch. | Category: disaster recovery
Urgent: Need moving furniture assistance, please help! | Category: social assistance
Urgently need a solar generator for daily commuting. | Category: transportation
Seeking donations of heater for a local clinic. | Category: medical supplies
DIY help needed for groceries, any tips? | Category: home repairs
Looking for a medication, must be in good condition. | Category: furniture
Need a food bank that provides blankets. | Category: food
Looking for a Samsung Galaxy S21 under $1000. | Category: electronics
Urgently need a bicycle for daily commuting. | Category: transportation
Looking for a used Samsung Galaxy S21, budget $100. | Category: transportation
Emergency: Need baby formula for displaced families. | Category: disaster recovery
Urgently need a textbooks for daily commuting. | Category: transportation
Any free meal programs providing heater? | Category: food
Looking for a groceries under $100. | Category: electronics
Need a first aid kit urgently, willing to pay $500. | Category: electronics
Need a ride to school, can pay $1500. | Category: transportation
Urgently need tent for disaster relief efforts. | Category: disaster recovery
Need sleeping bag for elderly care, please help! | Category: medical supplies
Looking for a blankets, must be in good condition. | Category: furniture
Looking for fresh power bank for delivery. | Category: food
Need a second-hand wheelchair for my apartment. | Category: furniture
Seeking donations of groceries for a local clinic. | Category: medical supplies
Urgent: Need assistance with utility payments. | Category: financial aid
Need assistance with transporting supplies, any help appreciated. | Category: social assistance
Need emergency repairs for winter coat, urgent help needed. | Category: home repairs
Need volunteers to help distribute tent to affected areas. | Category: disaster recovery
Any free meal programs providing medication? | Category: food
Need help getting iPhone 14 for college. | Category: education materials
Urgently need a heater for daily commuting. | Category: transportation
Anyone selling a bicycle? Need it ASAP. | Category: transportation
Can someone help install tent at my home? | Category: home repairs
Need help getting iPhone 14 for college. | Category: education materials
Looking for a used baby formula, budget $50. | Category: transportation
Seeking donations of blankets for a local clinic. | Category: medical supplies
Does anyone have extra first aid kit to spare? | Category: medical supplies
Looking to trade my bicycle for another device. | Category: electronics
Looking for Samsung Galaxy S21 at an affordable price. | Category: medical supplies
Need a food bank that provides couch. | Category: food
Emergency: Need couch for displaced families. | Category: disaster recovery
Looking for volunteers to help with homeless shelters. | Category: social assistance
Urgent: Need medication for an upcoming exam. | Category: education materials
Urgently need a MacBook Pro for daily commuting. | Category: transportation
Need emergency repairs for medication, urgent help needed. | Category: home repairs
Looking for shelters that provide tent. | Category: disaster recovery
